magnitude,longitude,latitude
3.07,-67.1798333333333,18.5778333333333
4.2,-60.1528,12.903
3.1,-104.959,37.017300000000006
3.63,-115.9566667,32.4671667
3.43,-116.71566670000001,32.54850000000001
4.3,-116.2987,31.045900000000007
2.59,-66.9471666666667,17.9455
2.6,-151.0346,61.154
4.9,148.487,45.416
4.5,-178.2536,-17.9791
2.89,-121.1616669,36.5241661
2.84,-121.10516360000003,40.1988335
2.71,-121.06999970000001,40.208168
4.6,7.289200000000001,75.3895
2.6,-113.5394,36.4558
4.6,-73.0975,6.860800000000001
5.1,139.1763,33.3737
2.8,-104.1564,31.5515
5.1,126.925,0.48550000000000015
2.52,-155.461669921875,19.157833099365195
2.52,-155.479827880859,19.159166336059602
4.5,139.2095,33.23020000000001
4.5,-116.44099999999999,30.903100000000006
4.2,139.9746,27.4999
4.9,139.3064,33.3376
5.2,139.3346,33.4333
4.7,129.517,-6.9107
5,139.3907,33.4042
2.89,-67.2701666666667,17.873166666666705
4.9,123.5454,7.468900000000001
4.1,36.1805,37.9
4.8,139.2767,33.242100000000015
4.9,-33.8887,56.9513
2.5,-154.8932,57.719800000000006
5.6,139.31290000000004,33.4097
5.1,141.6158,11.4555
5,139.465,33.3234
5.8,139.3432,33.343800000000016
5.5,139.3982,33.3953
4.9,69.2277,-22.7825
2.55,-66.9691666666667,17.900999999999996
4.7,139.3655,33.30460000000001
2.5,-104.2736,31.6283
5.2,124.6073,-7.2339
3.63,-67.822,18.405
4.8,-73.79860000000001,3.9752000000000014
2.7,-151.1718,61.0094
4.8,161.651,55.54889999999998
3.82,-67.9136,19.027600000000003
2.95,-155.46516418457,19.1646671295166
4.5,111.3659,-9.2337
3.4,-67.5371666666667,18.695500000000003
2.5,-104.41780000000001,31.591100000000004
3.94,-67.8886,19.171500000000005
3.34,-66.5633,18.050799999999995
3.57,-67.551,19.156000000000002
3.43,-67.6868333333333,19.078
3.62,-67.692,19.122500000000002
3.31,-67.6628333333333,19.2953333333333
2.5,-96.82170000000002,38.416500000000006
4.4,163.3157,55.2483
3.74,-67.7791,19.0081
3.26,-122.76300050000002,38.8213348
5.4,-169.7105,53.31760000000001
2.57,-121.15216830000001,40.21866610000001
4.8,125.3503,5.8828
3.9,-134.6562,55.4738
4.5,-80.4691,-1.5056
3.57,-66.9278,18.037500000000005
4.6,142.3763,26.5708
2.6,22.292800000000003,40.5168
3.33,-67.6701666666667,18.9171666666667
5.2,126.05080000000001,10.117300000000002
2.46,-121.16116330000001,40.229499800000006
4.5,45.50300000000001,34.24130000000001
2.9,-121.1583328,40.21966550000001
4.5,71.6202,37.9432
3,-104.1724893,31.70267895000001
2.98,-155.36833190918,19.1399993896484
2.49,-66.95900000000002,17.948333333333302
4.3,-178.56240000000003,-17.955
3.08,-121.1539993,40.21266560000001
2.91,-121.15049740000002,40.21133420000001
3.69,-66.9575,17.956500000000002
3.5,-157.843,56.16960000000001
4.9,125.9774,10.100300000000002
5.3,129.9569,29.9947
